Id,en_us,ko_kr,memo
claim_panel_button_claim,CLAIM,점령 하기,점령 패널 점령하기 버튼
claim_chunk_timer,{0} DAY(S),{0} 일,청크 점령시 남은 시간
slot_claimList,{0} Day(s),{0} 일,점령 리스트 오버레이
warning_message_claim,You cannot claim territory at night.,밤에는 점령 작업을 할 수 없습니다.,밤에 점령버튼 눌렀을 시 경고 문구
warning_message_workerMode,Cannot assign population because no buildings have been placed.,배치된 건물이 없어 인구를 할당할 수 없습니다.,배치된 건물이 없는데 workerMode 눌렀을 때 뜨는 메세지
baby_dragon_toast_egg_granted,[TBD] You received a {0} Dragon Egg!,[미정] {0} 속성 용의 알을 얻었습니다!,새끼용 가이드 / 알 획득 토스트. {0}=속성명
baby_dragon_toast_egg_hatched,[TBD] Your {0} Dragon Egg hatched!,[미정] {0} 속성 용의 알이 부화했습니다!,새끼용 가이드 / 부화 토스트. {0}=속성명
landmark_toast_artifact_acquired,[TBD] You acquired the {0} relic!,[미정] {0} 유물을 획득했습니다!,랜드마크 / 유물 획득 토스트. {0}=랜드마크명
research_toast_tower_unlocked,[TBD] You can now build the {0} tower!,[미정] 이제 {0} 타워를 건설할 수 있습니다!,연구·랜드마크 / 타워 영구 해금 토스트. {0}=타워명
baby_dragon_guide_open_inventory,[TBD] Press {0} or this button to open the baby dragon inventory and check your egg.,[미정] {0} 키나 이 버튼으로 새끼용 인벤토리를 열어 알을 확인하세요.,새끼용1단계 / 딤+스포트라이트. {0}=토글 키 이름(Tab)
baby_dragon_guide_switch_tab,[TBD] Switch to this tab.,[미정] 이 탭을 눌러보세요.,새끼용있는 탭이 안내 대상과 다를 때
baby_dragon_guide_wait_hatch,[TBD] This egg hatches in a few days. Press X button to close the window and let a day pass.,[미정] 이 알은 며칠 뒤 아침에 부화합니다. X 버튼을 눌러 창을 닫고 하루를 보내세요.,새끼용 가이드 2단계 / 부화 대기
baby_dragon_guide_place_dragon,"[TBD] Select the dragon, then click a tile to place it.",[미정] 새끼용을 고른 뒤 타일을 클릭해 배치하세요.,새끼용 가이드 3단계 / 배치 유도
baby_dragon_guide_completed,[TBD] You can earn more dragon eggs from cycle bosses and conquest.,[미정] 앞으로 주기 보스와 점령으로 알을 더 얻을 수 있습니다.,새끼용 가이드 / 안내 종료 토스트
baby_dragon_guide_manage_hint,[TBD] Click a placed baby dragon to see its effects.,[미정] 배치한 새끼용을 클릭하면 효과를 볼 수 있습니다.,새끼용 가이배치 후 효과 확인 안내 토스트
baby_dragon_guide_reopen_inventory,[TBD] Your baby dragon hatched. Press {0} or this button to open the inventory.,[미정] 새끼용이 부화했습니다. {0} 키나 이 버튼으로 인벤토리를 열어보세요.,새끼용 가이드 3단계 진입 / 창이 닫혀 있을 때. {0}=토글 키(Tab)
portal_preview_count,x{0},x{0},
config_window_header,Settings,Settings,
config_section_graphics,Graphics,Graphics,
config_section_sound,Sound,Sound,
config_section_language,Language,Language,
config_section_key,Key Bindings,Key Bindings,
config_resolution,Resolution,Resolution,
config_resolution_format,{0}x{1},{0}x{1},
config_fullscreen,Fullscreen,Fullscreen,
config_volume_master,Master,Master,
config_volume_bgm,Music,Music,
config_volume_se,Effects,Effects,
config_volume_percent,{0}%,{0}%,
config_language,Language,Language,
config_language_en_us,English,English,
config_language_ko_kr,Korean,Korean,
save_timestamp_format,"[TBD] MMM d, yyyy HH:mm",yyyy년 M월 d일 HH:mm,
save_last_saved_label,[TBD] Last saved: {0},[미정] 마지막 저장: {0},
save_slot_empty,[TBD] Empty,[미정] 빈 슬롯,
save_slot_corrupted,[TBD] Corrupted save,[미정] 손상된 세이브,
save_slot_auto_badge,[TBD] Auto,[미정] 자동,
save_slot_day_label,[TBD] Day {0},[미정] {0} 일째,
save_fail_generic,[TBD] Failed to save.,[미정] 저장에 실패했습니다.,
save_fail_phase,[TBD] You can only save during the day.,[미정] 낮에만 저장할 수 있습니다.,
save_fail_serialize,[TBD] Failed to save. (data error),[미정] 저장에 실패했습니다. (데이터 오류),
save_fail_disk,[TBD] Failed to save. Check your available disk space.,[미정] 저장에 실패했습니다. 디스크 여유 공간을 확인하세요.,
load_fail_generic,[TBD] Failed to load.,[미정] 불러오기에 실패했습니다.,
load_fail_not_found,[TBD] No save data in this slot.,[미정] 이 슬롯에는 저장된 데이터가 없습니다.,
load_fail_parse,[TBD] This save file is damaged.,[미정] 세이브 파일이 손상됐습니다.,
load_fail_schema,[TBD] This save file is from an incompatible version.,[미정] 호환되지 않는 버전의 세이브 파일입니다.,
dragon_babyDragon_Inventory_title,Baby Dragon Inventory,보유한 새끼용 목록,보유한 새끼용 목록
dragon_babyDragon_Inventory_egg_title,Egg Inventory,보유한 알 목록,보유한 알 목록
dragon_motherDragon_info_life,[TBD] The Nature Dragon’s blessing is upon you.,"[미정] 자연 속성 용의 가호를 받고 있습니다.
(용의 효과 설명 추가)",자연 속성 용 설명
dragon_motherDragon_info_fire,[TBD] The Fire Dragon’s blessing is upon you.,"[미정] 불 속성 용의 가호를 받고 있습니다.
(용의 효과 설명 추가)",불 속성 용 설명
dragon_motherDragon_info_ice,[TBD] The Ice Dragon’s blessing is upon you.,"[미정] 얼음 속성 용의 가호를 받고 있습니다.
(용의 효과 설명 추가)",얼음 속성 용 설명
dragon_motherDragon_info_time,[TBD] The Time Dragon’s blessing is upon you.,"[미정] 시간 속성 용의 가호를 받고 있습니다.
(용의 효과 설명 추가)",시간 속성 용 설명
dragon_motherDragon_info_stone,[TBD] The Stone Dragon’s blessing is upon you.,"[미정]  암석 속성 용의 가호를 받고 있습니다.
(용의 효과 설명 추가)",암석 속성 용 설명
dragon_motherDragon_button_change,change,변경,어미용 속성 변경 버튼
dragon_motherDragon_header_skillTree,Skill Tree,스킬 트리,어미용 스킬트리 텍스트
dragon_babyDragon_info_grass,[TBD] Grass Baby Dragon Info,[미정] 초원 속성 새끼용의 정보,초원 속성 새끼용의 정보
dragon_babyDragon_info_fire,[TBD] Fire Baby Dragon Info,[미정] 불 속성 새끼용의 정보,불 속성 새끼용의 정보
dragon_babyDragon_info_ice,[TBD] Ice Baby Dragon Info,[미정] 얼음 속성 새끼용의 정보,얼음 속성 새끼용의 정보
dragon_babyDragon_info_time,[TBD] Time Baby Dragon Info,[미정] 시간 속성 새끼용의 정보,시간 속성 새끼용의 정보
dragon_babyDragon_info_stone,[TBD] Stone Baby Dragon Info,[미정] 돌 속성 새끼용의 정보,돌 속성 새끼용의 정보
dragon_button_motherDragon,MOTHER DRAGON,어미 용,드래곤 패널 탭 메뉴 어미용
dragon_button_babyDragon,BABY DRAGON,새끼 용,드래곤 패널 탭 메뉴 새끼용
baby_dragon_guide_place_dragon_tile,[TBD] Click a tile to place it,[미정] 배치할 타일을 클릭하세요.,
game_speed_multiplier_format,{0}x,{0}x,
resource_tooltip_row,{0} {1},{0} {1},
resource_tooltip_total,Net,합계,
resource_forecast_production,Production,생산,
resource_forecast_population_upkeep,Population upkeep,인구 유지비,
resource_forecast_terrain_upkeep,Terrain upkeep,지역 유지비,
resource_warning_food,"[TBD] Short by {0}. If you end the day like this, {0} people will starve to death.",{0} 부족합니다. 이대로 날을 넘기면 인구 {0}명이 굶어 죽습니다.,
resource_warning_material,[TBD] Short by {0}. Facilities that cannot pay their upkeep will have their workers pulled off.,{0} 부족합니다. 유지비를 내지 못한 시설은 배치된 인구가 해제됩니다.,
resource_warning_generic,[TBD] Short by {0}. Ending the day like this will leave you unable to pay.,{0} 부족합니다. 이대로 날을 넘기면 비용을 낼 수 없습니다.,
resource_warning_depleted,[TBD] This runs dry after the next settlement.,다음 정산 후 바닥납니다.,
resource_name_flame_heart,[TBD] Flame Heart,불꽃의 심장,
resource_name_snow_crystal,[TBD] Snow Crystal,눈의 결정,
resource_name_time_sand,[TBD] Time Sand,시간의 모래,
resource_name_philosopher_stone,[TBD] Philosopher Stone,현자의 돌,
guide_confirm_button,Next,다음,
tutorial_ending_next,Next,다음,
tutorial_conquest_unreachable,You cannot go there. Pick a green tile.,갈 수 없는 땅입니다. 초록색 땅을 고르세요.,
tutorial_night_blocked,You can start the night once this guide finishes.,안내가 끝나면 밤으로 넘어갈 수 있습니다.,
tutorial_objective_panel_header,Daily Quests,일일 퀘스트,
tutorial_day2_open_dragon_for_slime,Open the dragon window to check your slime stock.,용 창을 열어 슬라임 보유 현황을 확인하세요.,
tutorial_day2_slime_stock_info,It shows what you hold now and what settles tomorrow morning.,지금 가진 슬라임과 내일 아침 정산될 양이 함께 표시됩니다.,
tutorial_day1_next_hint,"When an explanation ends, press [Next] to continue.",설명을 읽었으면 [다음] 버튼을 눌러 넘어가세요.,
tutorial_day1_intro,"At night, monsters pour from the portals to the castle. If the castle falls it is over. Block their path by day.",밤이 되면 포탈에서 몬스터가 성으로 몰려옵니다. 성이 무너지면 끝입니다.,
tutorial_day1_close_build_panel,"Press ESC, or the BUILD MODE button again, to close the build panel.",ESC를 누르거나 건설 모드 버튼을 다시 눌러 건설 창을 닫으세요.,
tutorial_day1_click_tower,Click the tower you just built.,방금 세운 타워를 클릭하세요.,
tutorial_day1_assign_population,Press +1 ASSIGN to staff this tower with one worker.,ASSIGN 버튼을 눌러 이 타워에 인구를 한 명 배치하세요,
tutorial_day1_operation_rate,"The closer to full staff, the higher the operation rate. A higher operation rate makes the tower fire faster. Unstaffed towers do not fire.",인구가 정원에 가까울수록 가동률이 오릅니다. 가동률이 오르면 공격 속도가 빨라집니다. 인구가 없으면 싸우지 않습니다.,
tutorial_day1_close_population_panel,Press CLOSE to close the staffing panel.,CLOSE 버튼을 눌러 인구 창을 닫으세요.,
tutorial_day1_click_research_lab,Click the lab you just built.,세운 연구소를 클릭하세요.,
tutorial_day1_assign_lab_population,Press +1 ASSIGN to staff the lab.,ASSIGN 버튼을 눌러 연구소에 인구를 배치하세요.,
tutorial_day1_research_point_info,Lab workers bring research points at the end of each night. An unstaffed lab earns nothing at all.,연구소의 인구가 밤이 끝날 때 연구 포인트를 모아 옵니다. 인구가 없으면 연구소가 있어도 쌓이지 않습니다.,
tutorial_day1_research_button_info,You spend research points through the RESEARCH button. You have none today. Come back tomorrow morning.,모인 연구 포인트는 연구 버튼에서 씁니다. 오늘은 포인트가 없습니다. 내일 아침에 다시 오세요.,
tutorial_day1_food_info,"Your people eat every day. Food comes from farms. Run out and your people leave, idling towers and workshops.","인구는 매일 식량을 소모합니다. 식량은 농장에서 나옵니다. 식량이 부족하면 인구가 줄고, 타워와 시설도 함께 멈춥니다.",
tutorial_day1_click_farm,Click the farm you just built.,세운 농장을 클릭하세요.,
tutorial_day1_assign_farm_population,Press +1 ASSIGN to staff the farm.,ASSIGN 버튼을 눌러 농장에 인구를 배치하세요.,
tutorial_day1_staffing_info,Production scales with the workers you assign. How you split them decides each day's output.,생산 시설은 배치한 인구에 비례해 자원을 냅니다. 인구를 어디에 배치하는지가 그날의 생산량을 정합니다.,
tutorial_day1_close_farm_panel,Press CLOSE to close the staffing panel.,CLOSE 버튼을 눌러 인구 창을 닫으세요.,
tutorial_day1_territory_colors,"Yellow marks your land, green is what you can claim. Red is out of reach. Claims spread only from your land.","노란 선 안이 현재 영역, 초록색은 점령 가능한 땅입니다. 붉은색은 점령할 수 없습니다.",
tutorial_day1_chunk_overlay_info,The figures show added population and resources.,땅 위 표시된 패널은 점령 시 늘어나는 인구와 캘 수 있는 자원을 표시합니다.,
tutorial_day1_select_chunk,Choose a tile to claim and click it.,점령 부대를 보낼 땅을 하나 클릭하세요.,
tutorial_day1_conquest_duration,DURATION is how many days the expedition needs.,걸리는 시간은 점령까지 소요되는 시간입니다.,
tutorial_day1_conquest_monster,Land marked MONSTER strengthens the monsters you face. Weigh what you gain against what you must hold off.,MONSTER 표시가 있는 땅은 얻으면 몬스터가 강해집니다. ,
tutorial_day1_conquest_cost,COST TO CONQUER is the price. Scroll it sideways.,필요한 자원은 점령에 드는 자원입니다. 옆으로 밀어 보세요.,
tutorial_day1_send_expedition,Press CLAIM to send the expedition.,점령하기 버튼을 눌러 점령대를 보내세요.,
tutorial_day1_claiming_info,Land being claimed is outlined in grey. Survive that night and it is yours. Lose and it is void.,점령 중인 땅은 회색 선으로 표시됩니다. 도착한 날 밤을 넘기면 내 땅이 됩니다. 성이 무너지면 무산됩니다.,
tutorial_day1_exit_conquest,"Press ESC, or the CLAIM button again, to leave claim mode.",ESC를 누르거나 점령 버튼을 다시 눌러 점령 모드를 닫으세요.,
tutorial_day1_egg_granted,The dragon's blessing has granted you a Life dragon egg.,용의 가호로 생명 용의 알을 획득했습니다.,
tutorial_day1_worker_overlay_info,Each building now shows its workers and capacity.,건물마다 배치된 인구와 정원이 함께 표시됩니다.,
tutorial_day1_worker_bulk_info,"Left-click assigns workers and right-click recalls them. Shift-click fills capacity, while Ctrl-click moves five.","왼쪽 클릭은 인구 배치, 오른쪽 클릭은 회수입니다. Shift + 클릭은 정원까지, Ctrl + 클릭은 다섯 명씩 움직입니다.",
tutorial_day2_morning_settlement,Morning has come. Every night ends with the day being settled.,아침이 밝았습니다. 밤이 끝나면 하루치 정산이 이루어집니다.,
tutorial_day2_food_upkeep,Your people have eaten their food.,인구가 소모한 식량이 빠져나갔습니다.,
tutorial_day2_click_slime_farm,Click the slime farm you just built.,방금 건설한 슬라임 농장을 클릭하세요.,
tutorial_day2_slime_farm_terrain_info,The terrain you build on decides which slime you get. Need a certain attribute? Claim that land first.,슬라임은 농장이 배치된 땅의 속성에 따라 달라집니다. 필요한 속성이 있다면 점령을 통해 확장하세요.,
tutorial_day2_assign_slime_farm_population,"Assign workers. The more you put in, the more slimes it yields.",인구를 배치하세요. 인구에 비례해 슬라임이 생산됩니다.,
tutorial_day2_close_slime_farm_panel,Press CLOSE to close the staffing panel.,CLOSE 버튼을 눌러 인구 창을 닫으세요.,
tutorial_worker_mode_nudge,You have many buildings now. Worker Mode lets you move population at a glance.,건물이 많아졌습니다. 일꾼모드로 인구를 한눈에 옮길 수 있습니다.,
tutorial_day2_close_lab_panel,Press CLOSE to close the staffing panel.,CLOSE 버튼을 눌러 인구 창을 닫으세요.,
tutorial_day2_click_castle,Click the main castle at the centre.,가운데 있는 메인 성을 클릭하세요.,
tutorial_day2_attribute_info,This is the mother dragon's current attribute. It decides her night skills and the effect she lends.,지금 어미용의 속성입니다. 속성이 밤에 쓰는 스킬과 새끼용에게 주는 효과를 정합니다.,
tutorial_day2_change_attribute_info,"Pick another attribute and press CHANGE ATTRIBUTE. Only once a day, so decide by what the night brings.",다른 속성을 고르고 CHANGE ATTRIBUTE로 바꿀 수 있습니다.,
tutorial_day3_omen,The portals are shaking hard. What comes tonight is not what came before.,포탈이 크게 흔들립니다. 오늘 밤에 오는 것은 지금까지와 다릅니다.,
tutorial_day3_boss_warning,"Tonight they come from three sides, with a boss behind. You cannot hold this with the strength you have.","오늘 밤 세 방향에서 몰려오고, 보스가 옵니다. 지금의 힘으로는 막을 수 없습니다.",
tutorial_ending_beat_1,"The castle has fallen. Where the fires died down, nothing remains.",성이 무너졌습니다. 불길이 잦아든 자리에 아무것도 남지 않았습니다.,
tutorial_ending_beat_2,Then a vast shadow settles over the ruins. The dragon of time.,그때 무너진 성 위로 거대한 그림자가 내려앉습니다. 시간의 용입니다.,
tutorial_ending_beat_3,"""""This was not a night that had to come yet.""""",「이 밤은 아직 오지 않아도 될 밤이었다.」,
tutorial_ending_beat_4,"""""Go back. Build it differently this time.""""",「돌아가라. 이번에는 다르게 세워라.」,
tutorial_objective_remaining,{0} things left to try.,아직 해보지 않은 것이 {0}가지 남았습니다.,
tutorial_objective_farm_built,Build a farm to secure food,농장을 지어 식량을 마련한다,
tutorial_objective_research_completed,Complete one research,연구를 하나 완료한다,
tutorial_objective_expedition_sent,Send out a conquest expedition,점령 버튼을 눌러 부대를 파병한다,
tutorial_objective_slime_farm_built,Build a slime farm,슬라임 농장을 짓는다,
tutorial_objective_mother_dragon_checked,Change the mother dragon's attribute at the main castle,메인 성에서 어미용의 속성을 바꿔본다,
tutorial_day1_objective_intro,Check the objective list on the right. These are today's suggestions - you can start the night without finishing them.,오른쪽 일일 퀘스트 목록을 확인하세요. 다 하지 못 해도 밤으로 넘어갈 수 있습니다.,
tutorial_objective_day1_tower_built,Build a tower,타워를 세운다,
tutorial_objective_day1_population_assigned,Assign population to the tower,타워에 인구를 배치한다,
tutorial_objective_day1_night_survived,Survive the first night,첫 밤을 버틴다,
tutorial_day1_monster_path,The red line is the path monsters will take tonight. Build your towers along it.,빨간 선이 오늘 밤 몬스터가 지나갈 길입니다. 그 길목에 타워를 세워야 막을 수 있습니다.,
tutorial_objective_day1_egg_granted,Receive a dragon egg and check it,용의 알을 받아 확인한다,
tutorial_day2_slime_is_dragon_food,"Slimes are baby dragon food. Once yours hatches, it eats slimes of its own attribute every day.",슬라임은 새끼용의 먹이입니다. 새끼용이 깨어나면 하루마다 자기 속성의 슬라임을 먹어 치웁니다.,
tutorial_day2_fill_lab_capacity,Fill it to capacity and you'll have 10 points by tomorrow - enough for one research.,정원까지 채우면 하룻밤에 10 포인트가 모여 내일 연구 하나를 열 수 있습니다.,
tutorial_objective_research_lab_built,Build a research lab,연구소를 짓는다,
tutorial_quit_button,Quit tutorial,튜토리얼 그만두기,
tutorial_quit_confirm_message,Quit the tutorial and start the main game? Your progress here will not be saved.,튜토리얼을 그만두고 본게임을 시작할까요? 지금까지의 진행은 저장되지 않습니다.,
tutorial_quit_confirm_yes,Quit,그만두기,
tutorial_quit_confirm_no,Keep playing,계속하기,
tutorial_ending_beat_goal,"""""Seal all four portals, or fell the boss of the final cycle. If the castle falls, it ends there.""""","「포탈 넷을 모두 봉인하거나, 마지막 주기의 보스를 쓰러뜨려라. 성이 무너지면 그것으로 끝이다.」",
resource_forecast_baby_dragon_feed,[TBD] Baby dragon feed,새끼용 먹이,
resource_warning_slime,[TBD] Short by {0}. Baby dragons that go unfed will not operate that day.,{0} 부족합니다. 먹이를 받지 못한 새끼용은 그날 가동하지 않습니다.,
save_window_header,[TBD] Save,[미정] 저장,
save_slot_overwrite_confirm,[TBD] Click again to overwrite,[미정] 한 번 더 누르면 덮어씁니다,
save_slot_saved,[TBD] Saved.,[미정] 저장했습니다.,
title_load_window_header,[TBD] Load,[미정] 불러오기,
title_load_slot_number,[TBD] Slot {0},[미정] 슬롯 {0},
title_load_slot_delete,[TBD] Delete,[미정] 삭제,
config_button_save,[TBD] Save,[미정] 저장,
config_button_load,[TBD] Load,[미정] 불러오기,
title_new_game,[TBD] New Game,[미정] 새 게임,
title_continue,[TBD] Continue,[미정] 이어하기,
title_load,[TBD] Load,[미정] 불러오기,
title_config,[TBD] Settings,[미정] 설정,
title_quit,[TBD] Quit,[미정] 게임 종료,
